iter	Passed	Remaining
0	6	6674
1	14	7202
2	20	6886
3	28	7113
4	35	6991
5	40	6718
6	47	6756
7	53	6673
8	60	6636
9	68	6814
10	75	6746
11	80	6662
12	86	6576
13	93	6570
14	99	6525
15	105	6512
16	113	6547
17	119	6525
18	127	6597
19	134	6574
20	141	6588
21	148	6593
22	154	6580
23	164	6708
24	173	6751
25	184	6928
26	192	6931
27	198	6882
28	204	6857
29	211	6830
30	217	6793
31	224	6778
32	230	6753
33	236	6724
34	243	6723
35	250	6714
36	259	6751
37	265	6727
38	273	6732
39	280	6721
40	287	6714
41	293	6697
42	300	6681
43	307	6679
44	313	6659
45	320	6650
46	327	6647
47	334	6634
48	341	6629
49	348	6612
50	356	6625
51	362	6612
52	369	6601
53	376	6602
54	383	6585
55	390	6582
56	398	6592
57	405	6590
58	413	6587
59	421	6595
60	427	6584
61	434	6566
62	440	6557
63	447	6543
64	453	6530
65	459	6508
66	466	6498
67	472	6474
68	478	6452
69	485	6450
70	491	6431
71	497	6414
72	503	6395
73	510	6382
74	517	6383
75	523	6361
76	529	6343
77	536	6340
78	542	6328
79	549	6323
80	556	6308
81	562	6296
82	569	6289
83	576	6286
84	585	6297
85	591	6288
86	599	6288
87	606	6282
88	615	6296
89	623	6304
90	632	6316
91	638	6303
92	644	6289
93	651	6283
94	658	6269
95	664	6260
96	671	6248
97	677	6234
98	684	6228
99	691	6223
100	698	6220
101	705	6208
102	714	6223
103	720	6210
104	727	6203
105	733	6188
106	739	6171
107	746	6169
108	753	6159
109	761	6157
110	767	6148
111	774	6139
112	780	6127
113	786	6114
114	793	6106
115	800	6097
116	806	6088
117	813	6082
118	820	6074
119	827	6064
120	833	6055
121	839	6044
122	846	6032
123	852	6024
124	859	6018
125	865	6005
126	871	5991
127	880	5998
128	886	5985
129	892	5974
130	898	5962
131	906	5958
132	912	5948
133	920	5948
134	926	5936
135	932	5926
136	940	5927
137	947	5918
138	954	5914
139	961	5903
140	967	5893
141	973	5881
142	979	5868
143	985	5856
144	991	5845
145	997	5834
146	1004	5826
147	1010	5816
148	1016	5806
149	1022	5796
150	1029	5788
151	1037	5787
152	1043	5778
153	1049	5767
154	1055	5756
155	1062	5747
156	1068	5737
157	1074	5726
158	1080	5713
159	1086	5703
160	1092	5691
161	1098	5684
162	1105	5677
163	1111	5666
164	1118	5659
165	1124	5647
166	1130	5639
167	1136	5627
168	1141	5615
169	1148	5609
170	1154	5595
171	1159	5579
172	1166	5576
173	1172	5568
174	1179	5561
175	1186	5554
176	1192	5545
177	1200	5541
178	1206	5534
179	1214	5532
180	1220	5522
181	1227	5519
182	1234	5509
183	1240	5502
184	1248	5499
185	1254	5488
186	1260	5478
187	1266	5469
188	1271	5455
189	1277	5444
190	1283	5434
191	1289	5427
192	1296	5419
193	1301	5405
194	1306	5394
195	1312	5385
196	1317	5371
197	1322	5357
198	1328	5347
199	1333	5335
200	1339	5322
201	1344	5311
202	1349	5299
203	1357	5295
204	1362	5282
205	1367	5271
206	1372	5259
207	1378	5250
208	1383	5237
209	1388	5225
210	1393	5212
211	1399	5202
212	1405	5193
213	1411	5185
214	1417	5175
215	1423	5165
216	1428	5156
217	1435	5148
218	1442	5142
219	1447	5133
220	1453	5123
221	1459	5113
222	1464	5103
223	1470	5094
224	1476	5084
225	1481	5072
226	1486	5061
227	1491	5051
228	1497	5041
229	1502	5031
230	1508	5020
231	1513	5011
232	1519	5002
233	1525	4993
234	1531	4985
235	1538	4979
236	1543	4969
237	1549	4960
238	1555	4953
239	1561	4943
240	1568	4938
241	1575	4933
242	1581	4925
243	1587	4919
244	1593	4910
245	1599	4902
246	1606	4896
247	1611	4887
248	1618	4881
249	1624	4872
250	1629	4863
251	1636	4857
252	1642	4849
253	1649	4844
254	1655	4836
255	1661	4827
256	1668	4823
257	1674	4816
258	1681	4810
259	1687	4803
260	1693	4794
261	1699	4786
262	1705	4778
263	1711	4770
264	1718	4765
265	1723	4756
266	1730	4749
267	1735	4740
268	1741	4732
269	1748	4726
270	1753	4716
271	1759	4708
272	1765	4701
273	1770	4692
274	1776	4684
275	1783	4678
276	1789	4670
